advertiser,category,business,address,city,zip,phone,website,email,leadership,grade,mission,extracurricula,description,other
,Independent,Lowndes Academy,P. O. Box 99 215 South Broad Street,Lowndsboro,36752,(334) 278-3366,https://www.lowndesacademy.org,lowndesacademy@yahoo.com,Headmaster: Barry Mohun,K3-12th,,"Sports: Football (Pee-Wee, Jr. High & Varsity), Girls Volleyball, Baseball, Softball, Basketball, and Cheerleading Clubs: Beta Club, FCA, SGA, ACE, Key Club, Spanish and Mathematics",Curriculum: Elementary A Beka; college prep,"Testing Requirements: None Registration deadline: Open Accreditation: AISA; COGNIA (formerly known at AdvancED) Other: After school care, music, dance, gymnastics, piano, yearbook staff. Annual Deer Hunt for school fundraiser. Tuition: Please visit website or call for more info."
,Independent,Montessori Academy,1025 South Hull Street,Montgomery,36104,(334) 262-8685,https://www.Montessorimontgomery.com,montgomery.montessori@gmail.com,Administrator: Erin Kilgore,12 months through Kindergarten/Montessori age-appropriate academic program,,"Sports & Clubs: Ballet, Spanish, and Tumbling","Founded: 1982 Curriculum: Montessori Curriculum- includes language, pre-reading, reading, math, science, history, art, and music (AMS affiliated).",Registration Deadline: Open as space permits. Testing Requirements: Personal interview Other: Celebrating 36 years of Quality Education for the Crucial Early Years. Lead Directresses are American Montessori Society Certified or International Montessori Council Certified teachers. Tuition: Please call for more information.
,Independent,Eastwood Christian School,1701 E. Trinity Blvd.,,,-334,,,,,,,,
,Independent,Montessori at Mulberry,2034 Clubview St,Montgomery,36106,(334) 265-7733,Facebook: Montessori at Mulberry,montessori.mulberry@gmail.com,Director: Terri Jackson,12 months through Kindergarten,,,"Curriculum: Each child is encouraged to reach his/her full potential in all areas of life. The specific needs of individual children are met at each developmental level. Our curriculum, which is challenging, interdisciplinary and real world related, provides a strong academic bridge to elementary school.",Registration Deadline: Open as space permits. Testing Requirements: Personal interview. Tuition: Please call for more information.
,Independent,Montessori School at Hampstead,"5251 Hampstead High Street, Suite #111",Montgomery,36116,(334) 356-1969,https://MSHMontgomery.org,hos@mshmontgomery.org,"Melanie Morrison, Head of School",12 months – Kindergarten,,"Other: On-site educational farm with school garden, music, library, Jungle Jim, Dance with Alabama Dance Theatre, Raspberry Chess Academy and soccer with Phoenix Soccer Club.",Founded: 2011 Curriculum: Montessori,Accreditation & Affiliations: Affiliated with AMS (American Montessori Society) and IMC Religious Affiliation: Interdenominational Registration Deadline: Rolling Open House: We schedule school tours for 9:00am or 11:00am on school days by appointment Testing Requirements: Parents required to tour (when geographically possible) and allow for an onsite visit/observation for their child in the classroom Tuition: $100 non-refundable application fee; program fees and costs can vary based on program options selected so please contact the office for details.
,Protestant,Success Unlimited Academy,"2328 Fairlane Dr., Montgomery (9th-12th grades, Night School & tutoring) 4500 Vaughn Road, Montgomery (K4-8th grades)",Montgomery,36116,(334) 213-0803,https://www.suacademy.com,,"Headmaster: Susan Alred, M.Ed. Lead Principal: Lauren Morgan, M.Ed.",K4-12th,"SUA provides a safe and encouraging environment where students feel accepted and are challenged by educational excellence, instilled with loyalty to our country, and developed through spiritual growth. We believe all students can be a success through Christ who strengthens them.","Athletic Affiliation - AISA and ACAA, Boys - Football, Basketball and Baseball; Girls - Volleyball, Basketball, Softball and Cheer Clubs: Studio Art, Drama, Chosen Generation Praise Band, SUA Singers, SHINE Choir,Media Team, Math Club, SGA, H2O Club, Key Club, P.E.A.R.L.S. Club and Yearbook Club.",Founded: 2000 Religious Affiliation: Christian Curriculum: State of Alabama approved standards/requirements,"Registration Deadline: OpenTesting Requirements: Consultations and Evaluations provided at time of enrollment. Accreditation: COGNIA (formerly known as AdvancED) 2022 Cognia School of Distinction, and AISA Blue Ribbon School Other: SUA offers flexible academic schedules that include day school, Night School and Distance Education Tutoring is available Monday-Thursday at our Fairlane Drive Campus. Tuition: Please call for tuition information Uniforms Required Social Media: Facebook & Instagram"
a,Protestant,Alabama Christian Academy,4700 Wares Ferry Rd,Montgomery,36109,(334) 277-1985,https://www.alabamachristian.org,,Head of School: Josh Roberts,K3 through 12th,,"Sports: Football, Basketball, Baseball, Softball, Volleyball, Track, Soccer, Golf, Tennis, Bass Fishing, Cheerleading, Swimming, Cross Country Clubs: Key Club, National Honor Society (Lower School and Upper School), FCA, SGA, Math, Drama, Chorus, Band, Color Guard, Theatre, Scholars Bowl, Pep Club, Spanish National Honor Society, FCS, Bass Fishing Team, Capture Club.",Founded: 1942 Religious Affiliation: Church of Christ Curriculum: College Prep,"Testing Requirements: Evaluation of scholastic record, standardized test scores, and placement tests.Open House: January 13, 2025. Registration Deadline: Open Accreditation: COGNIA (formerly known as AdvancED) Tuition: Please call for prices. Tuition breaks for multiple children. Uniforms Required."
a,Protestant,Evangel Christian Academy,3975 Vaughn Rd,Montgomery,36106,(334) 272-3882,https://www.ecalions.org,,Administrator: Bobby Johnson,K4 through 12th,"Evangel Christian Academy exists to be an extension of the Christian family in training and developing of Christian students for committed service to our Lord Jesus Christ. Through quality academic instruction, the impartation of Biblical values and providing activities designed to foster spiritual, academic, and social growth, ECA works to help each student reach their potential in Christ.","Sports: Football, basketball, baseball, softball, volleyball, track and cheerleading Clubs: SGA, FCA, Booster Club, National Junior Honor Society and National Honor Society, Praying Parents Drama, ACT Prep, Spanish, Speech, Creative Writing and over 30 more high school electives.","Founded: 1995 Curriculum: A BEKA, Bob Jones, Purposeful Design, ACSI, and McDougal Littell","Testing Requirements: Testing is required Registration Deadline: Open in February to all Accreditation: AISA (Blue Ribbon School), SACS-CASI and ACTS Tuition: Please call for tuition information. Uniforms required."
a,Protestant,Trinity Presbyterian School,1700 East Trinity Boulevard,Montgomery,36106,(334) 213-2100,https://www.trinitywildcats.com,admissions@trinitywildcats.com,Head of School: Mrs. Suzanne Satcher,K3 through 12th,"Trinity is Montgomery's foremost educational institution, binding academic excellence with Christian values. Trinity offers a challenging college-preparatory education, a rigorous academic program, committed educators, outstanding athletics, and a nurturing family environment. Educators at Trinity strike the perfect balance, encouraging students to strive for excellence while emphasizing Christ-like character above all else. ""The Trinity Experience"" produces leaders who possess mental, physical, and spiritual strength. One hundred percent of Trinity graduates are accepted to post-secondary institutions, with many attending some of the finest colleges in the nation. Offering the only full-time dance program at a Montgomery independent school, Trinity's award-winning fine arts program provides state-of-the-art areas for dance, choral, instrumental, visual arts, and speech. An athletic program with a long-standing tradition of championship-level teams, many Trinity athletes go on to play at the next level in several sports. Athletics play an integral part in Trinity's educational program, which is designed to develop the whole person—mind, body, and spirit..","Extra Curricular: Piano Lessons, Chess Club, Dance, Robotics Club, Key Club, Mathematics Club, Speech and Debate, Fellowship of Christian Athletes, Art Classes, Musical Theater, Taekwondo, Pickle Ball Club, French Club, Spanish Club, Bible Studies, Show Choir, Guitar, Band, Twirlers, and many more. Sports: Trinity fields 36 interscholastic sport teams, including football, volleyball, basketball, tennis, baseball, softball, golf, soccer, track, cross country, and swimming. Electives, Clubs and Activities: Film Studies, Robotics, CSI, Art, Band, Choral, Dance, Drama, Speech, Theatrical Design and Production, and much more.","Founded: 1970 Religious Affiliation: Christian Curriculum: Accelerated, College Prep","Registration deadline: Rolling Enrollment Open House: K3 and K4 Preschool, Tuesday, January 20, at 5:30 PM, and Kindergarten and Lower School, January 22, at 5:30 PM. Intended for families of prospective Lower School students, K3 - 5th grade. Accreditation: Trinity Presbyterian School holds dual accreditation from the Southern Association of Independent Schools (SAIS) and the Southern Association of Colleges and Schools (SACS). It holds membership in the Alabama Association of Independent Schools, The College Board, National Association for College Admission Counseling, Southern Association for College Admission Counseling, and the Coalition of Lighthouse Schools. Extended Care Program: Trinity offers an extended day through the Cat Quest program. This program is designed to be a true extension of the school day, providing more than just childcare. Cat Quest encourages students to learn and thrive in a relaxed and fun environment. Tuition: Please email rhall@trinitywildcats for more information and to learn about Grace-Based Tuition. Uniforms Required."
,Protestant,AIM Academy,7469 Georgia Road,Wetumpka,36092,(334) 478-3888,https://adullamhouseca.org,ahca@adullamhouse.org,Headmaster: Ben Nobles,Preschool-12th,"The objective of AHCA is to provide a nurturing, Godly environment where children can reach his/her full potential. It is our desire to teach our children integrity and high standards of conduct to equip them for success!","Sports: Cheerleading, Volleyball, Basketball Clubs: Elective classes offered in Art, Computer and Music. Dual Enrollment with Central Alabama Community College",Religious Affiliation: Non Denominational. Curriculum: Abeka,"Testing Requirements: 4th Grade and up, entry test required Registration Deadline: March Uniforms are required. Tuition: Please call for rates."
,Protestant,Bethany Christian Academy,1765 Highland Ave.,Montgomery,36107,(334) 264-2101,http://antp25.adventistschoolconnect.org,,Principle: Paula S. Blackwell,Kindergarten to 8th,"Testing Requirements: 4th Grade and up, entry test required Registration Deadline: March Uniforms are required. Tuition: Please call for rates","Sports: Volleyball, Cross Country, Track & Field, Basketball, Tennis and Soccer Clubs: Music, Global Missions trips, Environmental Camp, Computer and Pathfinders",Founded: 1899 Religious Affiliation: Seventh-day Adventist,"BCA holds accreditation with the Accrediting Association of Seventh-day Adventist School, Colleges and Universities, and the National Council for Private School Accreditation."
,Protestant,Calvary Christian Academy,3570 Bell Rd,Montgomery,36116,(334) 271-4200,https://ccawatchmen.com,cca.office@myyahoo.com,Principal: Constance Oliver,K-2 through 8th,,"Sports: Volleyball, Basketball and Cheerleading Clubs: Band, Choral, Fine arts and Computer Class",Founded November 1974 Independent Fundamental Baptist Abeka Curriculum,Interview required; possible testing required Registration begins in February AACS and ACEA-accredited Before and aftercare services are available Biblical integration in all subjects Summer Fun program Uniforms required K5-8th grade Reasonable tuition rates
,Protestant,Chapman Christian Academy,4711 Chapman Rd.,Millbrook,36054,(334) 285-5354,https://www.chapmanchristianacademy.com,,Principal: Jon Chapman,K4-12th,Providing a traditional education in the minimum amount of time. A Christian curriculum is used and a Christian world view is taught.,,"Founded: 1994 Religious Affiliation: Christian Curriculum: A Beka, Bob Jones and South Western Publishing Co.",Accreditation: National Association of Private Schools Testing Requirements: Grade level testing performed upon entry. Tuition: Competitively priced with other schools in the area. Please call for rates.
,Protestant,Eastwood Christian School,1701 E. Trinity Blvd,Montgomery,36106,(334) 272-8195,https://www.eastwoodschool.org,admin@eastwoodschool.org,"Head of School: Joel R. Bius, Ph.D.",K4 - 12th,Offers classical approach to Christian education with a biblical worldview dominating all subjects. 7:30 a.m. - 2:00 p.m. with extended study hall and enrichment options until 3:00 p.m.,"Sports: Basketball, volleyball, baseball, cross country, tennis and sporting clays. Clubs: Theatre, Beta Club, SGA, Mu Alpha Theta, Yearbook Staff, French Club, and Spanish Club","Founded: 1996 Religious Affiliation: Presbyterian; Westminster Confession of Faith Curriculum: Lower school/ Open Court Phonics and Reading; Houghton Mifflin Harcourt Math; The Grammar of Spelling; Rod and Staff Grammar; Bible, Veritas History, Purposeful Design Science and Zaner-Bloser Handwriting; Upper school/ Varied Classical Christian, Latin, Formal Logic and Rhetoric","Testing Requirements: Placement test/interview Open House is Jan. 8th at 6:30 p.m. in the sanctuary of Eastwood Presbyterian Church, 1701 E. Trinity Blvd. Registration: Early Registration is January 8, 2026. Waiting list registration is on Admissions page of website. Please call Head of School to schedule an appointment. Call for availability.Tuition: Please call for tuition prices. Uniforms required."
,Protestant,Montgomery Christian School,6610 Vaughn Road,Montgomery,36116,(334) 386-1749,https://www.montgomerychristianschool.org,info@montgomerychristianschool.org,Director: Pam McLemore Principal: Stephenie Price,Kindergarten K -5th,To provide an academically challenging Christian education to children in inner city Montgomery.,,"Curriculum: Singapore, Handwriting Without Tears, Purposeful Design, ABEKA, Houghton Mifflin and Positive Action for Christ.",Testing Requirements: K-5th grade Registration deadline: Open Accreditation: ACSI Tuition: Based on family income and the number of children in the family Uniforms required.
,Protestant,New Hope Academy,301 Water Street,Prattville,36067,(334) 361-9505,https://www.newhope4kids.com,haileymorrow@newhope4kids.com,"Principal: Tina Halbert, M.Ed., NBCT",K-12th,"New Hope Academy provides innovative programs and teaching strategies in a supportive environment. Our curriculum is designed to improve students' academic and social skills, which leads to a better quality of life opportunity. Our instructors help students overcome challenges through structured classwork and individual attention.",,"Curriculum: We serve students with individual learning differences, including learning disabilities, autism/Asperger's, ADD/ADHD, physical issues, etc… Our curriculum is individualized to each child's learning needs. Examples of curricula used include TouchMath, Handwriting Without Tears, Reading Mastery, Excel Math, Explode the Code and Spectrum Writing.",Testing Requirements: The director will test for academic levels upon acceptance to the school. Registration deadline: Enrollment is on a year-round basis Tuition: Please see website for more information
,Protestant,Prattville Christian Academy,322 Old Farm Lane North,Prattville,36066,(334) 285-0077,https://www.4pca.org,,"Head of School: Katie Furr, MBA","Pre K-2 through 12th. Enrollment: 700 Avg. Class Size: 12-25, depending on grade level and subject","Prattville Christian Academy is a non-denominational K2-12 school committed to providing a quality, Christ-centered education with an emphasis on life readiness. PCA is dedicated to providing academic excellence in a caring, Christian environment. Through personal example and individual relationships, PCA develops confident, independent thinkers who find purpose in the pursuit of life.","Sports: PCA is a member of the AHSAA and offers 13 competitive sports programs for boys and girls that offer a connection with a small group of students with similar interests. Sports include football, volleyball, wrestling, basketball, softball, baseball, golf, track, tennis, cross-country, cheerleading, swimming, and soccer. Clubs: PCA has more than 20 extracurricular options for students of all ages to find activities that interest them. These activities include school ambassadors, art, drama, Science Olympiad, Model UN, student government, honor societies, photography and many others","Founded: 1997 Religious Affiliation: Christian Curriculum: PCA offers a 1:1 digital learning environment with a focus on preparing Christian leaders for life. Honors, advanced placement and onsite dual enrollment classes are offered along with a Healthcare and Engineering Academy as well as a Sports Medicine internship. PCA also offers a gifted program for students in grades 1-5 and a resource center which provides academic support to students outside of the regular classroom during the school day in an effort to reduce the time students spend tutoring outside of school hours.","Registration Deadline: None, applications accepted throughout the year. Virtual campus tours available online. Physical tours by appointment only. Accreditation: Prattville Christian Academy is accredited by the National Christian School Association (NCSA) and COGNIA (formerly known as AdvancED). Tuition: Tuition rates are available on the website and include textbooks for all students and school supplies for grades K2-5. Family discounts available. Uniforms required for grades 1-12."
