advertiser,business,address,city,state,zip,phone,website,email,contact,ages,hours,meals,staff_ratio,other,description
,Gateway Child Development Center & Periscope,502 North Bridge Street,Wetumpka,AL,36092,(334) 567-4689,https://gatewaypreschool.weebly.com,wps502@yahoo.com,"Cecelia Hatcher, Director",6 wks. - 5 yrs. (before Kindergarten),6:30 a.m. - 5:30 p.m.,Hot,DHR standards,"Before and After school care offered. Special Summer Program and ""Periscope"". Multiple child discount.","Curriculum: High Reach Learning, Creative Curriculum"
,Children's Learning Center,305 S. Perry Street (inside First Baptist Church),Montgomery,AL,36104,(334) 834-7475,,kherbert@fbc-cm.org,"Kim Herbert, Direct",6 wks. - 5 yrs.,7 a.m. -5:30 p.m.,Catering optional or brown bag,DHR Standards,"Year round, Internal Scholarhip Program. Large playground.",Curriculum: Abeka and Pinnacle: Faith Based
,Trinity Church Preschool,1728 South Hull Street,Montgomery,AL,,(334) 262-8830,https://trinitypca.org,khall@trinitypca.org,"Kim Hall, Director",4 mths. - K5,9:30 a.m. - 1:15 p.m.,"Snack provided for one year olds, snack bucket for older children.",Better than DHR standards.,Early drop off and Late room available. Special Summer Program offered.,"Curriculum: Abeka, Handwriting without Tears, Saxon Hands on Math."
,"Second Mom's Childcare and Learning Center, Too",2726 Highland Ave.,Montgomery,AL,36106,(334) 832-1876,,,"Cheryl Shelby Howard, Director",2.5 yrs. - 13 yrs.,5:30 a.m. - 5:30 p.m.,"Hot breakfast, hot lunch and two snacks",DHR Standards,Before and after school care pickup. Extended care and summer program available. All certified teachers. Please call for rates.,Curriculum: Abeka
,Bethany Child Development Center,714 Cedar Street,Montgomery,AL,,(334) 265-5521,,bethanycdceagles@gmail.com,"Fenysa McDaniels, Director",6 wks. - 4 yrs.,6:30 a.m. - 6 p.m.,Hot,DHR Standards,Annual registration fee.,Religious affiliation: Seventh Day Adventist. Curriculum: Child's World
,Evangel Christian Preschool,3975 Vaughn Road,Montgomery,AL,,(334) 273-0730,https://ecpcubs.org,eaoffice@aol.com,"Rosemary Hean, Director",6 wks. - 3 yrs.,6:30 a.m. - 6 p.m.,Catered,DHR Standards,"Multiple child discount. Activities: Gymnastics, and dance offered. Annual registration. Please call for rates.",Religious Affiliation: Assemblies of God. Curriculum: Abeka
,First UMC Early Childhood Development,2416 W. Cloverdale Park,Montgomery,AL,,(334) 834-8964,https://fumcmontgomery.org,vmoore@fumcmontgomery.org,"Vicky Moore, Director",6 wks. - 5 yrs.,7:30 a.m. - 5:30 p.m.,Hot,DHR Standards,"Multiple child discount offered. Development appropriate learning environment. Learn through play, making choices and guided discovery in a warm, loving environment. Gymnastics, dance, and soccer offered. Annual Registration fee: call for rates.","Curriculum: Child centered, Christian using spiritual enrichment learning activities to insure success."
,First United Methodist First School,2416 W. Cloverdale Park,Montgomery,AL,,(334) 834-8990,https://fumcmontgomery.org,gwilkerson@fumcmontgomery.org,"Ginny Wilkerson, Director",2 mths. to Kindergarten,9 a.m. - 1 p.m.,Brown Bag,DHR Standards,"Early and Late room available. Activities: Music program, weekly chapel, field trips, gymnastics, dance, art and soccer. Please call for rates.","Curriculum: Handwriting Without Tears, Horizons"
,Heritage Baptist Child Development Center,1849 Perry Hill Road,Montgomery,AL,,(334) 279-0643,https://heritagecdc.net,,"Ashley Loomis, Director",6 wks. - 5 yrs.,7 a.m. - 5:30 p.m.,Hot,DHR Standards,Activities: Weekly chapel for 2-5 year olds. Registration and supply fee. Please call for rates.,Curriculum: Star Fall and ABC Jesus Loves Me
,Montessori at Mulberry,2034 Clubview Street,Montgomery,AL,,(334) 265-7733,,montessori.mulberry@gmail.com,"Terri Jackson, Director",12 mths. - Kindergarten,7:45 a.m. - 3:45 p.m.,Brown Bag,Better than DHR standards,Activities include year round outdoor vegetable gardening. Registration is open as space permits. Personal interview for testing requirement. Please call for rates.,"Curriculum: Each child is encouraged to reach his/her full potential in all areas of life. The specific needs of individual children are met at each developmental level. Our curriculum, which is challenging, interdisciplinary and real world related, provides a strong academic bridge to elementary school."
,Second Mom's Childcare and Learning Center,2703 Highland Avenue,Montgomery,AL,,(334) 832-9403,,,"Ollie Gray, Director",6 wks. - 12 yrs.,5:30 a.m. - 5:30 p.m.,"Hot breakfast, lunch and two snacks",DHR Standards,Before and after school pickups. Extended care and Summer program available. All certified teachers. Please call for rates.,Curriculum: Abeka and Baby Can Read
,Zelia Stephens Early Childhood Center,1100 Tuscaloosa Street,Montgomery,AL,,(334) 229-4471,,aclay@alasu.edu,"Anissa Clay, Director",3 yrs. - 4 yrs.,7:30 a.m. - 2:30 p.m.,"Hot, Gourmet Food Services",DHR Standards,Registration fee. Please call for rates.,Curriculum: Saxon
,New Generation Preschool,3461 Old Selma Road,Montgomery,AL,36108,(334) 593-2881,https://newgenerationpreschool.com,,"Cindl Straughn, Director",6 wks. - 12yrs.,6:30 a.m. - 6 p.m.,Hot,DHR Standards,Before and after school care available. Special summer program offered. Multiple child discount. Please call for rates.,Curriculum: Abeka
,Southlawn Child Care Center,125 Greenleaf Drive,Montgomery,AL,,(334) 286-1056,,southlawn@aol.com,"Elizabeth Sankey, Director",Infant - 15 yrs.,5:30 a.m. - 5:30 p.m.,Hot,DHR Standards,Multiple child discount. Annual Registration. Please call for rates.,Curriculum: Creative
,Covenant Kids Child Development Center,9 Arden Road,Montgomery,AL,36109,(334) 356-9110,,covenantkids1@outlook.com,"Donna Jones, Director",6 wks. - 5 yrs.,7 a.m. - 5:30 p.m.,"Morning snack, Hot lunch and afternoon snack provided.",DHR Standards,Multiple child discount. Please call for rates or to schedule a tour.,Curriculum: Abeka
,East YMCA Kindergarten & Child Care,3407 Pelzer Ave.,Montgomery,AL,,(334) 272-3390,https://ymcamontgomery.org,rwhitin@ymcamontgomery.org,"Robin Whiting, Director",6 wks. - 4 yrs.,7 a.m. - 6 p.m.,Catered,DHR Standards,"Multiple child discount. Activities: Wade pool, gym activities, music and Bible stories.",Curriculum: High Reach
,Eastern Hills Child Care,3604 Pleasant Ridge Road,Montgomery,AL,,(334) 277-5424,easternhills.church,melissa@ehbconline.com,"Melissa List, Director",6 wks. - 4 yrs.,7 a.m. - 5:30 p.m.,Hot,DHR Standards,Multiple Child Discount. Activities: Music and Big Green Bus.,Curriculum: Abeka
,Eastmont Christian Kindergarten,4505 Atlanta Hwy.,Montgomery,AL,,(334) 239-8555,https://eastmont.org,,"Lynn Blackwell, Director",K3-K5,8:30 a.m. -11:30 a.m.,Snack Bucket,Better than DHR Standards,"Registration fee: $140 per student. Please call for rates. Baby & Me Classes . Ages 2, Monday & Thursdays from 9-11 a.m.",Religious Affiliation: Baptist
,Little Explorers Learning Center,4453 Atlanta Hwy.,Montgomery,AL,,(334) 324-7103,,contact.littleexplorers@gmail.com,"Jennifer Mitchell, Director",6 wks. - 12 yrs.,6:30 a.m. - 6 p.m.,Lunch and snack for toddler and preschool,DHR Standards,Summer program available. Star rated Center.,Curriculum: Bible based
,Calvary Christian Academy,3570 Bell Road,Montgomery,AL,36116,(334) 271-4200,https://ccawatchman.com,,"Constance Oliver, Head of School",K2 - K4,Full day.,Catered,DHR Standards,Before and after school care available from 7 a.m. to 5:30 p.m.,Curriculum: Abeka
,Century 2000,4714 Virginia Loop Road,Montgomery,AL,,(334) 288-7740,https://www.century2000daycare.com,,"Mrs. Deramus, Director",3 wks. - 15 yrs.,5 a.m. - Midnight,"Breakfast, lunch and snack. (for those staying late, dinner and snack offered)",DHR Standards,Before and after school care. Summer program offered. . Please call for monthly rates.,Curriculum: A Beka.
,Growing Hearts Childcare Center,2813 E. South Blvd. Unit C,Montgomery,AL,,(334) 398-7342,https://growingheartschildcare.com,,Shameka Halpton,6 wks. - 12 yrs.,6 a.m. - 6 p.m.,Provide lunch and snacks,DHR Standards,Safe and secure facility,Curriculum: Tailored
,Heaven's Little Ones Childcare,2530 E South Blvd.,Montgomery,Al,,(334) 593-2392,,vyrseeboney1@gmail.com,Eboney Vyrse,6 wks. - 12 yrs.,7:30 a.m. - 5:30 p.m.,"Provide breakfast , lunch and snack",DHR Standards,Before and after school care available. Please call for rates.,Curriculum: Own
,JAAD's Child Care & Development Center,4002 St. Louis Road,Montgomery,AL,,(334) 322-0535,https://www.jaadschildcare.com,jaads_inc@yahoo.com,"Theresa Hardwick, Director",4 wks. - 5 yrs.,6 a.m. - 5:30 p.m.,"Breakfast, lunch and snack",DHR Standards,Before and after school care available. Night care available. Please call for rates and fees.,Established 1996. Curriculum: Self Developed.
,MCS Preschool,6610 Vaughn Road,Montgomery,AL,,(334) 277-0880,https://Montgomerychristianschool.org,,"Cassie May, Director",6 wks. - Pre K4,7:30 a.m. - 5:30 p.m.,Hot,Better than DHR standards,"Summer program offered. Surveillance System, Code entry and 3 separate playgrounds. Please call for rates. DHR licensed and inspected.","Curriculum: Creative Curriculum, Letter of the Week, Abeka. We teach thematic units using social studies, science, math, language, art and music through a hands-on program."
,Montessori at Hampstead,8321 Conduit St.,Montgomery,AL,,(334) 356-1969,https://mshmontgomery.org,info@montessoriathampstead.org,"Melanie Morrison, Head of School",12 mths. - 6 yrs.,7:30 a.m. - 5:30 p.m.,Hot meals available or brown bag.,Better than DHR standards,"Activities: Soccer, Ballet, Music, Jungle Gym, Foreign Language, Library, art and a Farm Education program. Please call for rates.",Curriculum: Montessori.
,St. James School Kindergarten,6000 Vaughn Road,Montgomery,AL,,(334) 277-8033,https://stjmontgomery.org,,"Ms. Andrea Harris, Principle, Ms. Becky Dickens, Early Learning Director",K2-K5,Half Day: 7:45-noon or Full Day: 7:45 a.m. - 2:45 p.m.,Hot,Better than DHR standards,"Saint James School Pre-K2, Pre-K3, Pre-K4 and Kindergarten use an integrated approach with literature, art, music and science to introduce readiness skills with hands -on activities. Wonderworks (after school care) available until 5:30 p.m. Special summer program. Military and multiple child discounts available.","Curriculum: Pre-K2, Pre-K3, Pre-K4 and Kindergarten use an integrated approach with literature, art, music and science to introduce readiness skills with hands -on activities."
,True Divine Childcare Center,4601 Troy Hwy.,Montgomery,AL,,(334) 286-4008,https://truedivinebaptistchurch.org,,,6 wks. - 4 yrs.,6 a.m. - 6 p.m.,Brown bag,DHR Standards,"Before and After school care, drop off service, military discount offered,",Curriculum: A Beka.
a,"Vaughn Road Preschool, LLC",8790 Vaughn Road,Montgomery,AL,36117,(334) 277-4815,,vrpreschool@gmail.com,"Kari Mason, Director",6 wk.s - 6 yrs.,6 a.m. - 6 p.m.,Lunch and 2 snacks provided,DHR Standards,Please call for rates.,Curriculum: Early Learning Standards Framework
,AUM Early Learning Center,7051 Senator's Drive,Montgomery,AL,,(334) 244-3772,https://education.aum.edu,lwildman@aum.edu,Laura Wildman Director,3 yrs. - 5 yrs. (potty trained),"7:45 a.m. - 5:15 p.m., Monday thru Friday","Sack lunch from home, two snacks",DHR Standards,Please call for rates.,"Curriculum: Project based, Research driven, and thematic."
,Elc Learning Center,3442 Eastdale Circle,Montgomery,AL,,(334) 593-7133,,alreabynum@yahoo.com,Courtney Bynum,6 mths. - 12 yrs.,6:30 a.m. -6 p.m.,Catered,DHR Standards,"Year round, Drop off and extended stay",Curriulum: Lillian Learning
,Frazer Christian Preschool,6000 Atlanta Hwy.,Montgomery,AL,,(334) 495-6370,frazer.church/about/fcp,preschool@frazer.church,"Kendall Thomas, Director",6 months - 5 yrs. Kindergarten,8:30 a.m. - 12:30 p.m.,Snack Bucket or Brown bag for extended day.,Better than DHR standards,"Early drop off and extended day available. Activities: Music, field trips, chapel, and physical education Strong faculty with unwavering interest in your child. Please call for rates.",Curriculum: Abeka
,GracePointe Child Development Center,1565 Ray Thorington Road,Montgomery,AL,,(334) 207-3942,https://grace-pointe.com,gracepointecdc@gmail.com,"Jennifer Mathis, Director",12 months - 5 yrs.,9 a.m. - 1 p.m.,Brown Bag,Better than DHR standards,"Surveillance system, two separate playgrounds. Please call for rates.","Curriculum: Play based, Beyond Centers and Circle Time"
,KinderCare Learning Center,6955 Halcyon Park Dr.,Montgomery,AL,,(334) 270-5955,https://kindercare.com,ctate@klcorp.com,"Courtney Tate, Director",6 wks. - 5 yrs.,6:45 a.m. - 5:45 p.m.,Hot,Better than DHR standards,Special summer program offered. Multiple child discount. Please call for rates.,Curriculum: Early Foundations
,Our Children's Academy,1000 Monticello Court,Montgomery,AL,,(334) 647-1113,https://ocaacademy.org/academy,oca.montgomer@gmail.com,"Kay Cullers, Director",Newborn - 6 yrs.,7 a.m. - 5 p.m.,Brown bag,Better DHR Standards,"Year round, Two playgrounds",Curriculum: Frog III
,St. James Preschool,9045 Vaughn Road,Montgomery,AL,,(334) 481-0722,https://kindercare.com,,"Leah Winn and Marla Wilke, Co-Directors",8 mths. -K5,9 a.m. - 1 p.m. For K5 and Mother's Morning Out,"Brown bag, snack provided.",DHR Standards,Late day offered. Please call for Registration fees and monthly rates.,Curriculum: Teacher developed including hands-on activities and age appropriate readiness skills.
,Taylor Road Baptist Church Early Learning Center,1685 Taylor Road,Montgomery,AL,,(334) 271-0845,https://taylorroad.org,,"Holly Nichols, Director",6 wks. - 4 yrs.,Monday-Thursday from 9 a.m. until 1 p.m.,Brown bag,Better than DHR standards,Before and after school care available. Please call for rates.,Curriculum: Teacher developed.
,Vaughn Forest Preschool and Kindergarten,8660 Vaughn Road,Montgomery,AL,,(334) 277-0362,https://vaughnforest.com/weekday-preschool,,"Mary James Newsom, Director",18 mths.. - 5 yrs.,9 a.m. - 1 p.m.,Brown bag and snack,Better than DHR standards,Early and late offered. Certified teachers. Please call for rates.,Curriculum: High Reach and Letter People
,YMCA Goodtimes Before and After School Programs,2325 Mill Ridge Drive,Montgomery,AL,,(334) 279-8666,https://ymcamontgomery.org,,,,,,,,
